x,y,pop_est
1755875,5434875,4.0
1756125,5434875,2.79
1756375,5434875,5.57
1756875,5434875,2.8
1757125,5434875,51.19
1757375,5434875,64.2
1757625,5434875,217.14
1757875,5434875,17.4
1758125,5434875,213.89
1758375,5434875,284.26
1758625,5434875,218.81
1758875,5434875,34.59
1743625,5435125,20.34
1747375,5435125,2.88
1747625,5435125,13.14
1749875,5435125,3.11
1750125,5435125,216.73
1750375,5435125,224.25
1750625,5435125,313.81
1750875,5435125,258.35
1751125,5435125,414.77
1751375,5435125,488.71
1751625,5435125,111.04
1751875,5435125,167.03
1752125,5435125,179.59
1752375,5435125,236.17
1752625,5435125,146.64
1752875,5435125,313.74
1753125,5435125,164.54
1753375,5435125,252.76
1753625,5435125,162.87
1753875,5435125,2.56
1755125,5435125,3.64
1755375,5435125,5.45
1756125,5435125,50.16
1756375,5435125,89.3
1756625,5435125,58.62
1756875,5435125,29.03
1757125,5435125,160.3
